id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha22_SAEM,alpha23_SAEM
1,7.41669,0.00373949,4.37712,-0.158814,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
2,7.43568,0.00382139,4.03933,-0.143535,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
3,7.38641,0.000395835,6.44506,0.0942328,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
4,7.3913,0.0132272,2.35895,0.0921728,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
5,7.43443,0.00384112,2.60829,-0.197495,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
6,7.37911,0.00911518,3.84669,-0.25629,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
7,7.41265,0.00432366,4.23593,-0.166676,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
8,7.41225,0.00802057,3.95272,-0.17622,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
9,7.42052,0.004491,4.51679,-0.0620311,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
10,7.33796,0.0032877,2.41244,-0.376163,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
11,7.39328,0.00685287,3.32642,-0.202788,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
12,7.37363,0.0125585,2.84135,-0.0146551,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
13,7.39376,0.0013617,5.30252,-0.23554,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
14,7.43229,0.000814481,4.5921,0.118764,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
15,7.38091,0.00206985,5.32634,-0.176617,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
16,7.42663,0.00331975,2.93015,-0.180161,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
17,7.36246,0.00304243,2.64157,-0.176596,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
18,7.37808,-0.000240479,3.62311,-0.145982,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
19,7.37458,0.00475138,2.98518,-0.398502,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
20,7.42585,0.00389243,3.07103,-0.158697,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
21,7.39088,0.0024129,4.14563,-0.0995374,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
22,7.46817,0.00463874,2.40747,-0.281743,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
23,7.42859,0.00518957,4.32424,-0.172682,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
