id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
1,0.0155035,-0.00272762,0.0133488,0.000260792,0,0,0,0,0,0,0,0
2,-0.0164357,-0.00349764,-0.117657,-0.103906,0,0,0,0,0,0,0,0
3,-0.00371156,0.00635969,-0.481152,0.0855458,0,0,0,0,0,0,0,0
4,-0.0311295,0.000807033,0.18771,-0.0286476,0,0,0,0,0,0,0,0
5,0.0155156,0.00299015,0.180549,-0.107521,0,0,0,0,0,0,0,0
6,-0.000814895,-1.76953e-05,0.0685429,0.0769379,0,0,0,0,0,0,0,0
7,0.0171044,0.000178344,0.322593,0.172458,0,0,0,0,0,0,0,0
8,0.110678,-0.00123693,-0.247512,0.156592,0,0,0,0,0,0,0,0
9,-0.0402542,-0.00209204,0.0957461,-0.0404171,0,0,0,0,0,0,0,0
10,-0.0096721,-0.0107148,-1.06087,0.12772,0,0,0,0,0,0,0,0
11,-0.0111999,-0.00144855,0.271033,0.160388,0,0,0,0,0,0,0,0
12,0.0564873,-0.00165181,-0.62726,-0.144097,0,0,0,0,0,0,0,0
13,-0.00955445,0.00396197,-0.546215,0.157155,0,0,0,0,0,0,0,0
14,-0.0244363,0.000286453,0.109166,-8.00434e-05,0,0,0,0,0,0,0,0
15,-0.0246863,0.000135929,0.798734,0.0844993,0,0,0,0,0,0,0,0
16,0.0325874,-0.000300204,-0.147214,0.00745247,0,0,0,0,0,0,0,0
17,0.0250692,0.00117676,0.514596,-0.0870513,0,0,0,0,0,0,0,0
18,-0.0240945,-0.00248609,0.509722,-0.0565778,0,0,0,0,0,0,0,0
19,-0.020242,-0.0049984,1.14751,-0.214812,0,0,0,0,0,0,0,0
20,0.00941968,-0.00104834,-1.02097,-0.0368135,0,0,0,0,0,0,0,0
21,0.0329428,0.0065398,-1.16967,-0.13134,0,0,0,0,0,0,0,0
22,-0.0329605,0.000885881,0.105914,-0.0200829,0,0,0,0,0,0,0,0
23,-0.0149673,0.000947964,0.0378796,0.0337994,0,0,0,0,0,0,0,0
24,-0.0021972,0.000612851,-0.026384,-0.00505664,0,0,0,0,0,0,0,0
25,0.0416482,0.000809359,-0.218474,0.0158422,0,0,0,0,0,0,0,0
26,0.0443865,0.00206067,0.857619,0.145455,0,0,0,0,0,0,0,0
27,-0.0160077,-0.00132731,-0.18144,0.112794,0,0,0,0,0,0,0,0
28,0.0110918,0.00327364,-0.749961,-0.0268977,0,0,0,0,0,0,0,0
29,-0.0440888,-0.00144587,-0.307256,-0.128002,0,0,0,0,0,0,0,0
30,0.00892414,0.000404272,0.187975,-0.0251937,0,0,0,0,0,0,0,0
31,0.0159159,0.00614346,0.629683,0.112685,0,0,0,0,0,0,0,0
32,-0.0489931,0.00305449,1.54081,-0.125362,0,0,0,0,0,0,0,0
33,-0.0279873,-0.000518062,-0.245727,-0.148221,0,0,0,0,0,0,0,0
34,0.0222712,0.00325794,0.266768,0.115731,0,0,0,0,0,0,0,0
35,0.028317,0.00117133,0.933846,0.00601487,0,0,0,0,0,0,0,0
36,-0.0110384,-0.00216415,-0.890138,0.00710489,0,0,0,0,0,0,0,0
37,-0.000621084,-0.00300624,0.884077,0.141084,0,0,0,0,0,0,0,0
38,0.0273503,0.00313667,0.155972,-0.00798764,0,0,0,0,0,0,0,0
39,-0.0123105,0.000249588,0.472985,-0.0374117,0,0,0,0,0,0,0,0
40,-0.0136315,-0.00383884,-0.0872595,-0.0634521,0,0,0,0,0,0,0,0
41,-0.0449119,0.000436836,-1.38643,-0.0829323,0,0,0,0,0,0,0,0
42,-0.0117654,-0.000362062,-0.550908,-0.00631723,0,0,0,0,0,0,0,0
43,0.0283932,-0.00152339,1.07803,0.143053,0,0,0,0,0,0,0,0
44,0.0693014,0.00371395,-0.528787,0.118111,0,0,0,0,0,0,0,0
45,0.00949174,0.00209191,-0.733669,-0.341473,0,0,0,0,0,0,0,0
46,0.0170947,0.00349947,-1.05886,-0.00617261,0,0,0,0,0,0,0,0
47,-0.00186609,-0.00127011,0.916265,0.103471,0,0,0,0,0,0,0,0
48,0.00625078,0.00123239,1.63023,-0.0077858,0,0,0,0,0,0,0,0
49,0.0132828,0.000784662,-1.10481,-0.00739811,0,0,0,0,0,0,0,0
50,0.00624987,0.000878494,-0.524819,-0.056863,0,0,0,0,0,0,0,0
51,0.0058149,0.00953465,-0.797712,-0.186499,0,0,0,0,0,0,0,0
52,-0.0147718,-0.00328949,0.978609,0.0249336,0,0,0,0,0,0,0,0
