id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
1,-1.02912,0.00420485,-0.00100112,-0.427695,0.0294797,-0.00106678,-0.699597,0.289731,2.50862,0.0489148,-9.49746,1.58373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.464756,-0.00800481,-0.00449419,-0.32154,0.0346686,0.00315096,-0.142009,0.0898545,-3.00232,0.0211321,-131.541,-0.905217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.13814,0.0540581,-0.00633595,0.668164,-0.0315571,-0.00221386,-0.622311,0.0271263,2.31043,-0.00426672,17.3462,0.201636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.27956,-0.0252515,-0.00447163,-0.5256,-0.0427481,-0.000103372,-1.67558,-0.167164,0.38405,0.00600532,89.7479,0.437361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.65084,0.0150599,-0.0210099,-0.125072,0.0175158,-0.00416625,1.46762,0.0282524,-2.39691,-0.0161928,-110.405,-0.882086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.50527,-0.0261863,0.00155659,0.130435,0.0309898,0.000544371,-0.0564144,-0.0254037,-0.354917,0.000322066,-117.78,-0.0834166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.20815,0.0158282,-0.00244503,-0.223309,-0.0109159,-0.00161747,-0.770216,0.152679,-0.987724,0.00412266,49.237,0.91884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.208175,0.0231301,-0.0147612,-0.150751,0.00146981,0.00330705,0.861839,0.100584,-2.04308,-0.0142473,-23.2646,0.756389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.22811,-0.0212369,0.00265716,-0.472069,0.0143429,0.00299032,0.153483,0.0709075,0.62052,-0.0272365,73.7386,0.504852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3.11292,0.00113216,-0.00676097,-0.371827,-0.00973283,0.00248998,0.936163,0.130264,-1.30195,0.017546,56.193,-0.351327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.266707,-0.00799179,-0.00372018,-0.514326,-0.0185515,-0.000369594,0.103861,-0.231838,-3.37468,-0.0693031,-40.5755,-6.24254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.402807,-0.0534581,0.0285247,0.228325,0.0424865,0.00660859,0.572494,0.10334,-0.446253,0.0290595,18.5668,1.00346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.456599,0.102033,-0.0113377,0.927918,-0.0451488,-0.00366219,0.161212,0.344465,-1.2329,-0.0173521,-162.496,-4.40334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.24758,-0.0241112,0.00419874,-0.234333,0.0128037,0.00569213,0.334144,-0.118356,-3.39636,-0.015625,35.3066,0.0771695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-1.37364,-0.0252765,0.00445824,-0.585201,0.0227509,-0.000819631,0.151929,0.124877,1.6079,-0.0180129,67.9107,-0.182916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.916558,-0.0376266,0.003236,-0.462296,-0.016823,-0.00110704,-0.0619149,-0.25458,-1.58678,0.0377269,12.7658,-0.0245523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-0.709669,-0.0175764,0.00490969,0.0282953,-0.0282727,0.00144301,-1.31761,-0.0136654,1.11522,-0.00860369,-63.1655,0.0255851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.206188,0.0423126,-0.00690161,0.00987606,0.02517,0.000290595,-0.417723,-0.0754224,-1.92073,0.00643438,-8.80553,0.204428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-1.27808,-0.0352132,0.00975915,-0.0908035,-0.00295729,0.000912877,0.536776,-0.0155781,0.904151,0.00845108,108.579,0.127964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.04634,-0.0144108,0.00310379,-0.105657,0.00151521,0.00110206,0.661762,-0.0248548,0.158486,-0.0127284,-24.626,0.133211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.99184,-0.0513396,0.011752,-0.0014685,0.0312175,0.0041972,1.03612,0.102988,-0.409297,0.0051232,35.2901,-0.0472488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.55945,0.0390495,-0.00806942,-0.137469,0.00709586,0.00452179,0.152624,-0.0744729,-0.241728,-0.0111302,59.9157,-0.380541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-0.595024,-0.0103733,-0.00326697,-0.00631422,-0.00291236,-0.000247605,-1.06176,-0.00628468,-1.03377,0.00115707,-3.2867,0.0885472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.59148,-0.00237824,0.00100726,-0.540229,0.00311181,0.0003369,-0.564184,-0.0092354,1.19599,-0.00199334,35.2283,0.311191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-1.67548,-0.0259781,0.00983502,-0.178483,0.0197019,0.000676815,-1.588,-0.107856,-0.179721,0.0483384,21.1246,-0.318562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
