id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha27_SAEM
1,-2.2839,-0.0247232,0.0139146,-0.106283,-0.0455338,0.00137385,-0.733333,0.0148071,-2.17086,-0.0254691,-0.131575,0.0205335,-5.71823,0.0746353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.57689,-0.0652794,0.0844059,0.231942,0.0244957,-0.000101755,-0.030717,-0.0480179,0.40889,0.023268,-0.162201,-0.0409541,-90.5403,-2.17658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.51312,0.0386787,-0.0243563,0.00834236,0.0582941,0.00350231,1.13848,-0.155522,0.0918249,-0.0505779,-0.92992,0.0192832,-68.2381,-3.14435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.63872,0.065299,-0.0103855,-0.0909128,0.0404331,-0.00309055,-1.19967,-0.141931,-0.219622,-0.00986316,-0.169792,-0.0591161,79.7452,-0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.863177,0.0132913,-0.024062,-0.0623822,-0.0278791,-0.00603372,-0.745829,0.0122432,1.24365,0.0554811,-1.48049,0.0416239,-24.1241,2.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.374229,-0.034893,-0.00750394,-0.165959,0.0497705,-0.00908905,-0.473247,0.204875,-0.390294,-0.100427,0.0287359,0.148835,132.78,3.31128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.145399,0.156533,-0.02191,0.800741,0.0388013,-0.00171787,1.15374,-0.0615391,-1.13175,0.0715857,0.451728,-0.100358,126.399,4.21458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-3.29995,-0.123048,0.0757329,0.773685,-0.03828,0.00567323,0.516298,0.189098,1.56381,0.0394771,0.192248,-0.0127946,78.2422,-1.91623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.529933,-0.0444986,0.0245102,-0.124846,-0.0148753,0.00489547,0.212649,0.0572672,0.196656,0.0409999,1.01178,0.109041,225.571,4.02738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-2.64377,-0.16821,-0.0408302,0.145634,0.0068047,-0.00735362,-0.92965,0.357083,-2.29944,-0.209765,0.162152,0.0838323,103.379,4.93557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.45701,0.0616351,-0.0122839,-0.0886423,0.00971952,0.000864746,1.09997,-0.299014,0.0540099,-0.0309524,0.842652,-0.180749,-20.0646,-0.214813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.43846,0.0386565,-0.0125479,-0.0169893,-0.0253613,0.00045043,0.477371,-0.0163504,0.590399,0.0132792,0.0173777,0.0226299,72.6316,1.77321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-1.65904,-0.0848217,0.113493,0.283348,-0.0329654,0.00576567,0.294386,-0.0717097,-0.108627,-0.0517195,0.234583,0.0557456,-65.3807,-1.29787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.67859,0.0388732,-0.0329539,-0.0127211,-0.0420823,0.00172264,0.6264,0.0115515,2.09066,-0.00165719,-0.0933164,0.00543019,18.6549,-0.233231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-1.96603,-0.0490815,0.000411408,-0.0923484,-0.00135537,0.00150709,-0.476849,0.0181413,-1.43008,0.00403883,0.514392,0.017004,34.9447,-0.63618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.0041,0.161995,0.00057585,0.145785,-0.0678182,0.00403829,0.413792,0.137637,-0.786452,0.0447903,-0.141216,0.0783742,-5.4616,0.636809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-0.958683,0.0275664,-0.00477706,0.0435678,-0.0328219,-0.000984571,-0.258098,0.0943346,-1.63789,-0.00573651,-0.271105,-0.0124234,85.9652,0.219427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.215116,-0.00264644,-0.00121337,0.00193091,0.00559459,-0.000149719,-1.06238,-0.0153692,-0.252389,-0.00328191,-0.703227,0.00559722,-22.6716,0.329513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-0.303779,-0.0426525,0.0410721,0.25879,-0.0417898,-0.00222555,0.135729,0.228852,-1.98577,-0.0134283,1.0091,0.145711,2.95575,-7.50307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
