id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
1,4.9303,-0.157704,-0.111816,4.32306,7.3934,0.00246974,4.46745,-0.124225,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
2,2.80541,-0.12381,-0.118902,4.58139,7.43308,0.000220363,5.03826,-0.132056,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
3,3.6913,-0.107323,-0.119012,7.16299,7.40262,0.00485728,4.15148,-0.142967,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
4,0.231156,-0.204976,-0.126484,3.4633,7.39731,0.00771435,3.2739,-0.196227,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
5,7.45773,-0.110022,-0.137833,7.26559,7.33208,-0.00124102,4.59542,-0.381877,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
6,5.74379,-0.12569,-0.116005,4.6174,7.39639,0.0037179,2.86138,-0.282992,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
7,2.99521,-0.0446719,-0.127309,7.92302,7.37516,0.0011261,3.39763,-0.291983,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
8,0.133181,-0.162745,-0.109691,7.77404,7.42729,0.00382728,4.42382,-0.173285,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
9,6.53972,-0.112835,-0.118112,7.19406,7.37136,0.000924584,4.78625,-0.0932354,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
10,7.36991,-0.149279,-0.118586,4.33239,7.42508,0.0113282,5.5407,-0.243592,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
11,2.53834,-0.211746,-0.107539,4.43513,7.4421,0.00569079,5.46201,-0.296528,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
12,6.14143,-0.110876,-0.121164,5.54301,7.38323,0.0104615,3.77583,-0.255597,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
