id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha22_SAEM,alpha23_SAEM
1,7.39499,0.00202185,3.85337,-0.0489874,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
2,7.4054,0.00252822,3.32941,-0.148599,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
3,7.37441,-2.92195e-05,4.33417,-0.214343,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
4,7.41525,0.00332388,4.57055,-0.211122,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
5,7.40805,0.000788224,5.04065,-0.00726368,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
6,7.39558,0.00267217,5.86314,-0.136139,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
7,7.40649,0.00379857,3.57442,0.0656109,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
8,7.41951,0.00346186,3.91464,-0.280498,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
9,7.42346,0.00254576,4.82923,-0.194713,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
10,7.38073,0.00280932,4.61198,-0.13561,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
11,7.41539,2.21002e-05,3.71065,-0.113629,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
12,7.39635,-0.000175684,3.77647,-0.202025,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
13,7.39199,0.00431618,4.44811,-0.0901162,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
14,7.45836,0.00162957,5.13888,-0.102444,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
15,7.45178,0.00200623,5.18391,-0.169826,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
16,7.40094,0.00216906,5.39925,-0.16824,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
17,7.4101,0.00221419,3.28029,-0.162248,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
18,7.38581,-0.00420825,4.48538,-0.307398,0.0823675,0.0943185,0.704927,0.131906,-11.7371,0.460497,4.75979,-0.198624
