id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha22_SAEM,alpha23_SAEM
1,7.38857,0.00212414,4.38748,-0.16799,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
2,7.39951,0.00105411,4.71818,-0.282013,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
3,7.34428,-0.00379279,3.89983,-0.166579,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
4,7.46258,0.00230787,3.83576,-0.155488,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
5,7.42168,-0.000188509,5.37004,-0.0376128,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
6,7.43966,-0.00362389,3.45731,-0.0112203,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
7,7.37263,0.00129215,3.21665,-0.206085,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
8,7.36343,0.000358019,1.88242,-0.244043,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
9,7.41867,-0.00320515,3.74349,-0.147848,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
10,7.45834,0.00480245,3.74441,0.0467743,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
11,7.39701,0.000313223,3.47094,-0.164414,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
12,7.37542,0.000103359,4.10956,-0.198675,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
13,7.34728,0.00116214,3.86783,-0.0271143,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
14,7.43147,0.00419536,4.13357,-0.155355,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
15,7.35563,-0.000443854,4.01002,-0.187708,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
16,7.38892,-0.00401645,4.06929,-0.298742,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
17,7.40172,-0.00173502,5.74169,-0.164297,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
18,7.38673,-0.005876,4.87674,-0.057288,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
19,7.39152,-0.000480897,4.43111,-0.206837,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
20,7.3547,-0.00129004,3.18411,-0.136859,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
21,7.36455,0.00192077,4.29331,-0.217846,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
22,7.40821,0.00408561,4.49421,-0.242533,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
23,7.34734,-0.000778379,5.11345,-0.0906767,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
24,7.37329,0.00200074,4.12867,-0.162508,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
25,7.4291,0.000800887,4.54355,-0.258848,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
26,7.41928,0.00171224,3.35782,-0.150017,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
27,7.36687,-0.00186797,4.43868,-0.0329984,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
28,7.34555,-0.00126825,4.77865,-0.113055,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
29,7.41564,0.00423546,4.94156,-0.301387,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
30,7.48718,-0.00286792,4.77045,-0.116001,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
31,7.37091,-0.00309274,3.58564,-0.224326,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
32,7.43573,0.00313007,4.73585,-0.286733,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
33,7.41229,-0.00133204,4.97344,-0.0797867,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
34,7.37188,-0.00173983,5.69485,-0.168245,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
35,7.38662,0.000736171,3.355,-0.343558,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
36,7.46037,0.00375838,3.37819,-0.218934,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
37,7.41889,-0.00325365,3.29964,-0.33121,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
38,7.42515,0.00446875,3.01786,-0.104336,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
39,7.36343,0.000437087,3.84888,-0.0888361,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
40,7.35474,0.00179455,3.54652,-0.23582,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
41,7.36955,-0.000459581,5.70725,-0.0780319,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
42,7.45879,0.00397961,4.41242,0.170182,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
43,7.39483,-0.000231445,5.47436,-0.0415541,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
44,7.3816,0.00500494,4.85819,-0.159108,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
45,7.41259,0.00292555,4.60843,-0.185144,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
46,7.36484,0.000606929,5.08545,-0.0333816,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
47,7.39333,-0.00210297,3.98637,-0.114093,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
48,7.31781,0.00187851,3.34787,-0.225527,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
49,7.40448,0.00192487,4.31833,-0.169059,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
50,7.41436,0.00354349,3.88274,-0.164491,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
51,7.42006,0.00208668,4.18268,-0.188993,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
52,7.42957,0.00120924,4.20841,-0.117625,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
53,7.46881,0.00454562,3.6907,-0.164328,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
54,7.39348,0.0107713,3.58761,-0.14465,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
55,7.31739,0.000207304,4.91411,-0.0731301,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
56,7.39997,0.00124906,3.00715,-0.23709,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
57,7.43427,0.00092447,3.15102,-0.178497,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
58,7.41668,-0.00807396,3.20527,-0.0655804,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
59,7.40036,-0.000531982,2.98553,-0.0998723,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
60,7.35791,-0.00473245,4.32695,-0.208855,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
61,7.39271,0.00153636,3.45092,-0.198338,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
62,7.40921,-0.00189021,4.5286,-0.0939154,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
63,7.32775,-0.000801702,3.9879,-0.137708,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
64,7.43922,0.00189617,3.84354,-0.1608,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
65,7.38888,-0.00223739,2.22421,-0.335335,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
66,7.37822,0.00171439,3.63273,-0.16569,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
67,7.3087,-0.000805125,4.10543,-0.0470557,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
68,7.41771,0.00128243,4.32604,-0.14224,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
69,7.41783,0.0074147,5.61504,0.0622473,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
70,7.44142,0.00120883,3.70484,-0.153892,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
71,7.39953,-0.000747506,4.97124,-0.0516631,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
72,7.40696,0.00280013,3.42769,-0.0720895,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
73,7.42212,0.00680564,4.95802,-0.354688,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
74,7.39686,0.000269705,4.8084,-0.134205,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
75,7.3994,0.00231056,4.07979,-0.197573,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
76,7.42357,0.000606734,3.67314,-0.227072,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
77,7.46664,0.00590062,3.25332,-0.518644,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
78,7.44348,0.000426166,5.10672,-0.262836,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
79,7.40902,0.00131607,2.6575,-0.283943,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
80,7.45722,0.00352665,4.23015,0.0317737,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
81,7.43361,0.00379863,4.72553,-0.1231,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
82,7.36496,-0.000278426,5.0195,-0.0586609,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
83,7.38444,-0.000284379,5.8705,0.00633248,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
84,7.4337,0.0023532,4.88537,-0.0879936,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
85,7.40852,9.95943e-05,5.28267,-0.0645009,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
86,7.41809,0.00213619,3.82476,-0.149673,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
87,7.37178,0.00138647,3.80044,-0.187623,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
88,7.41931,-0.00385436,4.47538,-0.199604,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
89,7.4487,0.00446782,3.54413,-0.28123,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
90,7.40337,-0.00154598,4.90644,-0.0921635,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
91,7.41583,0.00164174,3.30721,-0.131488,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
92,7.46898,0.00275701,5.19113,-0.0862061,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
93,7.39943,-0.00264924,5.06856,-0.071104,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
94,7.44139,0.00163058,4.14927,-0.127277,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
95,7.39579,0.00534986,5.28623,-0.0355665,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
96,7.46247,0.00513752,3.53014,-0.0336294,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
97,7.44707,0.00310467,4.32176,-0.194125,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
98,7.38891,0.00333649,4.58248,-0.0530948,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
99,7.43188,0.00277048,3.5327,-0.248222,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
100,7.34486,0.00263153,4.1999,-0.0255433,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
101,7.44568,0.00403005,5.0116,-0.458728,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
102,7.42197,-5.63969e-05,3.652,-0.124653,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
103,7.42767,0.000739519,2.95742,-0.122756,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
104,7.39834,0.00210559,3.69057,-0.15708,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
105,7.39043,0.00181735,4.02232,-0.200689,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
106,7.36719,-0.000523819,3.27147,-0.188134,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
107,7.37857,0.000484813,4.52867,-0.0805106,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
108,7.43512,0.00420456,3.65264,-0.113668,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
109,7.31166,-0.00261169,4.26044,-0.284516,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
110,7.42007,0.00393136,4.66175,-0.173696,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
111,7.41004,0.00151709,5.16013,-0.224965,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
112,7.44779,-0.00493557,4.38255,-0.364169,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
113,7.37097,0.00479633,3.79451,-0.0335154,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
114,7.37192,0.000637123,4.87046,-0.137911,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
115,7.46232,0.00652996,3.44806,-0.248916,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
116,7.40521,0.00386836,4.59391,-0.00940586,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
117,7.46044,0.00345297,5.65437,-0.132023,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
118,7.35123,-0.000280395,3.41135,-0.280136,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
119,7.43639,-0.00103367,5.46156,-0.111839,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
120,7.36091,0.000537744,2.87247,0.144759,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
121,7.3502,0.00281758,3.34063,-0.0681775,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
122,7.41018,-0.0013051,3.87165,0.0117656,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
123,7.38314,0.00527096,4.00735,-0.187929,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
124,7.32127,2.43553e-06,3.49197,0.011966,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
125,7.37148,-0.000182886,4.0585,-0.115051,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
126,7.44166,0.00101802,3.65545,-0.185116,0.023289,0.101332,0.730684,0.134368,-18.104,0.912796,3.77572,-0.210791
