id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM
1,0.000439695,0.0681318,-0.0627132,0.370846,0.063355,0.0153583,1.06839,0.16893,1.04265,0.146443,-0.309164,-0.0890588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.35466,-0.0330362,0.00429666,-0.269145,-0.0770521,-0.000746579,-0.471522,-0.121159,-0.334563,-0.120602,0.0979585,0.0619654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.93706,0.0571587,-0.0587022,0.672457,-0.0380088,-6.41075e-05,0.153011,-0.0545224,-0.404514,0.0161365,-0.593387,0.0421592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.04541,0.113755,-0.000682466,-0.396641,0.0144953,5.63873e-05,-0.09306,0.301355,0.0153555,0.1415,-0.0407729,-0.0233425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.915029,0.107682,-0.0016906,-0.0822708,0.00329079,0.000477629,0.00110586,0.17276,-0.648313,0.13053,0.645525,-0.0576742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.509013,-0.0329893,0.0100793,-0.0418424,0.0215246,0.000178545,-0.351352,-0.0123366,-0.529325,0.00029758,-0.678931,-0.00963383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.2012,0.0586817,-0.000344666,-0.320462,-0.00615068,-0.00348206,-0.952274,-0.135795,-0.597661,-0.0826107,0.703043,-0.0609874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.673446,0.00366098,-0.0127732,-0.171341,0.0085593,-0.000999014,-0.290284,-0.125102,-0.400005,-0.0557622,-0.133994,0.0583419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.47994,0.0625574,-0.096628,1.24265,0.0210176,-1.99258e-05,0.608948,-0.00505168,0.17645,0.052952,-0.450889,-0.0113886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.224013,0.213795,-0.0407622,1.30013,-0.0596916,5.75479e-05,1.64869,0.0763758,1.61968,0.049912,0.00419956,-0.0286621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-1.66802,-0.0618854,0.0281879,-0.370769,0.0184052,0.00467361,-0.37722,-0.126205,-0.522267,-0.0587747,0.512264,-0.051651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.09519,-0.0526291,0.0144664,-0.371765,-0.0255275,-0.00151838,-0.492613,0.00916845,-0.827435,-0.043972,-0.62313,0.0101025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.646443,0.0260196,-0.00464535,0.0378231,-0.0289116,-0.00173302,0.662206,0.0608929,0.428846,0.0034794,0.868424,0.00386506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.0766758,-0.0190616,0.0185138,-0.239865,0.027448,0.00121114,0.684137,0.0020775,-0.0774757,-0.0437601,0.030004,-0.019711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.684739,-0.0445992,-0.00852449,-0.399761,-0.0163868,-0.00163143,-0.632101,0.167942,-0.279493,0.0917088,-0.0407052,0.0527509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-0.206882,0.0160221,-0.00850707,0.0245468,-0.0522874,-0.00130309,0.55432,0.0757287,-0.557722,-0.00450744,0.497488,0.00233139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-1.29457,-0.0327295,-0.000240814,-0.393551,0.0121141,-0.00106123,1.5241,0.13952,0.592762,0.111089,-0.193746,0.00317954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.139086,0.0726878,-0.0396375,0.396229,-0.015795,0.000749857,1.03005,-0.0647894,0.948302,0.000745154,-0.117376,-0.00672579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.05688,0.0354229,0.00559953,0.0317757,-0.033303,-0.00165642,0.515511,0.0610575,1.3103,0.000774102,-0.387951,-0.00430139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1.07536,0.188127,-0.0130201,0.727337,0.060272,0.00531993,-0.486699,0.280291,-0.701418,0.192563,-0.117924,-0.0229767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-2.70624,0.00554318,-0.00495824,-0.343281,-0.0365912,-0.0041105,0.194662,-0.136871,-0.127411,0.00444085,-0.507661,0.108702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.540675,0.0315846,-0.010846,-0.171567,0.0366625,0.00240059,-0.762608,-0.0163537,-0.0427579,-0.0223696,-0.0372277,0.0352703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.840582,-0.00478167,0.00664089,-0.260632,-0.0129728,-0.00405838,1.40451,-0.147951,0.350471,-0.0527055,-0.405342,-0.0497939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.62847,0.186078,0.00368011,0.236435,-0.0239819,-0.00306178,0.059702,0.0699335,0.40527,-0.021956,0.0995847,0.0223678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.443662,-0.0133325,-0.00162232,-0.101126,-0.0157304,0.000378991,0.40377,-0.0188927,-0.0819561,-0.0162323,-0.289886,-0.00983536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.92296,0.185997,-0.00553731,0.389722,0.00620879,0.00330965,0.142272,0.17145,-0.260722,0.094585,0.746724,-0.0390885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.84996,0.016416,-0.0709162,-0.045164,0.0217831,-0.00360427,0.0978653,-0.155205,0.482571,-0.150588,-0.594732,0.0584307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.99239,0.038434,-0.0281507,-0.0707502,0.0100287,-0.00295467,0.0700118,-0.00164315,0.0848057,0.012766,-0.589017,-0.00732954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.792865,-0.079377,0.0169047,-0.281047,-0.0188265,0.00313456,-1.889,-0.0293842,-1.38175,0.0196463,-0.289017,0.0992403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-2.58369,0.138307,0.0279885,-0.188321,0.0697402,0.0112304,1.74025,-0.138556,0.702108,-0.0290221,-0.577609,0.00526297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-1.106,0.0987686,-0.0219486,0.15194,-0.0199955,-0.00103781,-0.7899,0.0323072,-0.36054,0.10331,0.868001,-0.0158871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
