id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
1,3.8634,-0.182739,-0.139307,7.57755,7.41375,0.0040487,2.33311,-0.26996,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
2,6.24057,-0.154779,-0.171699,4.84692,7.40127,-0.00102858,5.22899,-0.429356,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
3,5.72851,-0.165931,-0.147982,6.66482,7.47129,0.00683259,4.68176,-0.173854,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
4,4.3566,-0.138077,-0.184887,7.19815,7.43358,0.00502092,4.58791,-0.0653119,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
5,2.24378,-0.149788,-0.151793,7.8796,7.41903,0.0028924,3.96183,-0.186752,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
6,6.52942,-0.14555,-0.164595,6.02875,7.41448,0.00346921,4.35908,-0.214775,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
7,4.63087,-0.13179,-0.192187,7.26743,7.40717,0.00875164,3.59391,-0.353965,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
8,4.41396,-0.146667,-0.155983,9.42866,7.43423,0.00308999,3.28202,-0.186871,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
9,4.84456,-0.33039,-0.19215,22.1475,7.40801,0.00634675,4.14469,-0.332151,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
10,1.5725,-0.160844,-0.143077,5.0483,7.4308,0.00367808,2.40758,-0.178254,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
11,5.8855,-0.00852004,-0.1449,18.5218,7.44542,0.000713618,4.00035,-0.122229,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
12,5.42391,-0.161443,-0.159009,9.67026,7.40302,0.00313623,4.27355,-0.182504,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
13,4.85617,-0.27157,-0.0857886,26.4998,7.37626,0.00208113,4.59264,-0.172381,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
